0.37 %,0.00 %,0.00 %,0 %
5.82 %,5.82 %,5.82 %,5.82 %
37.16 %,35.37 %,35.43 %,35.37 %
44.91 %,43.83 %,42.99 %,42.99 %
44.23 %,44.15 %,44.15 %,44.15 %
45.05 %,44.71 %,46.40 %,44.71 %
62.55 %,60.87 %,62.35 %,60.87 %
52.69 %,52.15 %,51.94 %,51.94 %
48.91 %,48.37 %,47.28 %,47.28 %
69.46 %,69.57 %,68.69 %,68.69 %
52.14 %,52.14 %,52.34 %,52.14 %
59.56 %,60.03 %,55.74 %,55.74 %
68.80 %,69.47 %,71.75 %,68.8 %
54.01 %,54.05 %,53.58 %,53.58 %
55.86 %,52.44 %,51.81 %,51.81 %
77.44 %,76.60 %,75.40 %,75.4 %
56.58 %,56.88 %,56.58 %,56.58 %
64.57 %,61.87 %,63.28 %,61.87 %
71.23 %,70.39 %,71.38 %,70.39 %
86.96 %,87.01 %,86.76 %,86.76 %
67.37 %,61.45 %,63.62 %,61.45 %
72.52 %,75.22 %,72.84 %,72.52 %
88.24 %,87.30 %,87.21 %,87.21 %
64.72 %,63.78 %,63.29 %,63.29 %
89.33 %,77.90 %,77.50 %,77.5 %
81.57 %,85.33 %,83.38 %,81.57 %
75.42 %,72.66 %,72.33 %,72.33 %
123.89 %,113.77 %,112.30 %,112.3 %
106.24 %,108.58 %,143.26 %,106.24 %
132.84 %,107.48 %,164.30 %,107.48 %
171.72 %,99.97 %,166.13 %,99.97 %
132.74 %,275.28 %,241.09 %,132.74 %
--,--,977.33 %,977.33 %
401.62 %,--,491.79 %,401.62 %
550.99 %,--,543.47 %,543.47 %
--,--,--,0 %
31873.53 %,--,39775.79 %,31873.53 %
--,--,--,0 %
--,--,--,0 %
--,--,--,0 %
7(10),8(12),15(20),0 %
,--,--,0 %
,--,--,0 %
,--,--,0 %
,--,--,0 %
,--,--,0 %
,--,--,0 %
,,,0 %
,,,0 %
,,,0 %
,,,0 %