Instance,correlated,,,,,
,GS,,FER1,,FER2,
,nod,t(s)/gap(\%),nod,t(s)/gap(\%),nod,t(s)/gap(\%)
5.1,2.3E+03,0.48,1.8E+02,0.04,2.5E+02,0.05
5.2,4.9E+02,0.08,2.2E+02,0.04,3.7E+02,0.04
5.3,6.3E+01,0.05,1.5E+01,0.01,0.0E+00,0.01
7.1,1.6E+03,1.15,1.1E+03,0.43,6.5E+02,0.48
7.2,3.1E+03,0.97,2.2E+03,0.55,2.9E+03,0.68
7.3,3.5E+02,0.10,4.0E+02,0.11,5.8E+02,0.13
10.1,7.4E+03,9.05,1.3E+03,2.00,1.6E+03,2.03
10.2,8.2E+04,125.89,1.4E+04,14.69,1.9E+04,17.46
10.3,1.3E+03,01.30,6.8E+02,1.00,1.2E+04,5.03
15.1,5.8E+05,1614.54,2.5E+05,615.79,1.9E+05,273.18
15.3,2.0E+05,365.11,3.8E+04,52.91,6.6E+04,130.92
,7.9E+04,235.26,2.8E+04,76.06,2.7E+04,39.09