Instance,correlated,,,,,,,anticorrelated,,,,,,
,Best LB,GS,,FER1,,FER2,,Bet LB,GS,,FER1,,FER2,
,,t()/gap(\%),z,t()/gap(\%),z,t()/gap(\%),z,,t()/gap(\%),z,t()/gap(\%),z,t()/gap(\%),z
5.1,139.00_{123},0.16,139.00,0.07,139.00,0.02,139.00,159.00_{123},0.20,159.00,0.02,159.00,0.02,159.00
5.2,111.00_{123},0.12,111.00,0.01,111.00,0.01,111.00,145.67_{123},0.08,145.67,0.45,145.67,0.17,145.67
5.3,105.33_{123},0.07,105.33,0.13,105.33,0.04,105.33,113.00_{123},0.07,113.00,0.02,113.00,0.01,113.00
7.1,215.33_{123},2.51,215.33,6.33,215.33,5.36,215.33,207.00_{123},2.91,207.00,0.21,207.00,0.30,207.00
7.2,175.00_{123},0.66,175.00,0.17,175.00,0.16,175.00,166.00_{123},0.72,166.00,0.89,166.00,3.15,166.00
7.3,143.00_{123},0.88,143.00,0.13,143.00,0.91,143.00,162.00_{123},1.35,162.00,0.13,162.00,0.07,162.00
10.1,247.64_{123},157.12,247.67,179.86,247.67,85.39,247.67,282.97_{123},332.27,283.00,57.64,283.00,39.60,283.00
10.2,297.97_{123},369.61,298.00,108.19,298.00,56.63,298.00,276.31_{123},86.01,276.33,225.45,276.33,42.98,276.33
10.3,134.33_{123},10.29,134.33,11.88,134.33,7.44,134.33,96.00_{123},2.78,96.00,0.53,96.00,0.23,96.00
15.1,282.00_{3},34.99 %,380.67,37.12 %,386.67,36.29 %,384.33,217.41_{1},99.16 %,433.00,82.14 %,396.00,82.14 %,396.00
15.2,243.63_{1},29.30 %,315.00,35.45 %,330.00,29.30 %,315.00,248.05_{1},36.00 %,337.33,36.00 %,337.33,36.00 %,337.33
15.3,198.33_{3},21.34 %,240.67,21.34 %,240.67,21.34 %,240.67,164.98_{123},156.82,165.00,99.66,165.00,161.95,165.00
20.1,271.67_{2},62.45 %,441.33,62.45 %,441.33,70.80 %,464.00,171.00_{1},153.22 %,433.00,180.70 %,480.00,181.29 %,481.00
20.2,205.06_{1},60.93 %,330.00,60.93 %,330.00,61.90 %,332.00,207.87_{1},113.76 %,444.33,113.12 %,443.00,113.12 %,443.00
20.3,164.00_{2},45.73 %,239.00,45.73 %,239.00,45.73 %,239.00,169.89_{1},27.73 %,217.00,27.73 %,217.00,27.73 %,217.00
25.1,127.63_{1},288.61 %,496.00,290.18 %,498.00,289.40 %,497.00,300.00_{3},127.00 %,681.00,144.00 %,732.00,145.00 %,735.00
25.2,269.84_{1},68.13 %,453.67,68.13 %,453.67,81.47 %,489.67,221.09_{1},137.46 %,525.00,139.73 %,530.00,135.20 %,520.00
25.3,158.44_{1},47.69 %,234.00,47.69 %,234.00,47.69 %,234.00,158.33_{3},62.11 %,256.67,62.11 %,256.67,62.11 %,256.67
30.1,160.35_{1},259.85 %,577.00,267.33 %,589.00,247.37 %,557.00,169.21_{1},342.66 %,749.00,347.38 %,757.00,448.84 %,928.67
30.2,257.67_{3},108.93 %,538.33,120.31 %,567.67,108.93 %,538.33,193.86_{1},195.05 %,572.00,190.41 %,563.00,192.47 %,567.00
30.3,117.72_{1},116.61 %,255.00,116.61 %,255.00,116.61 %,255.00,115.92_{1},129.46 %,266.00,129.46 %,266.00,129.46 %,266.00
35.1,138.14_{1},375.59 %,657.00,344.46 %,614.00,379.21 %,662.00,132.34_{1},472.78 %,758.00,459.18 %,740.00,488.65 %,779.00
35.2,229.67_{3},173.73 %,628.67,174.75 %,631.00,175.91 %,633.67,277.95_{1},166.36 %,740.33,166.36 %,740.33,174.87 %,764.00
35.3,127.59_{1},136.95 %,302.33,139.30 %,305.33,136.95 %,302.33,97.86_{1},193.28 %,287.00,191.24 %,285.00,189.19 %,283.00
40.1,415.67_{3},106.42 %,858.00,106.34 %,857.67,107.06 %,860.67,62.95_{1},1123.21 %,770.00,1070.78 %,737.00,1258.24 %,855.00
40.2,72.52_{1},855.63 %,693.00,818.40 %,666.00,796.33 %,650.00,139.33_{2},431.34 %,740.33,438.04 %,749.67,429.19 %,737.33
40.3,80.00_{2},315.42 %,332.33,316.67 %,333.33,315.00 %,332.00,128.84_{1},154.57 %,328.00,165.44 %,342.00,159.23 %,334.00
45.1,154.67_{2},484.05 %,903.33,479.74 %,896.67,457.33 %,862.00,167.27_{1},610.45 %,1188.33,587.33 %,1149.67,589.52 %,1153.33
45.2,58.71_{1},1044.62 %,672.00,1177.48 %,750.00,1044.62 %,672.00,81.00_{2},975.31 %,871.00,950.62 %,851.00,867.90 %,784.00
45.3,109.33_{2},237.20 %,368.67,243.90 %,376.00,236.59 %,368.00,133.33_{2},207.75 %,410.33,207.50 %,410.00,209.25 %,412.33
50.1,57.00_{3},1322.81 %,811.00,1384.21 %,846.00,1345.61 %,824.00,87.81_{1},1166.71 %,1112.33,1258.58 %,1193.00,1161.78 %,1108.00
50.2,131.00_{2},589.06 %,902.67,563.61 %,869.33,555.73 %,859.00,108.12_{1},666.77 %,829.00,715.79 %,882.00,643.65 %,804.00
50.3,39.00_{3},923.08 %,399.00,861.54 %,375.00,853.85 %,372.00,214.38_{1},98.25 %,425.00,98.56 %,425.67,97.94 %,424.33
100.1,20.00_{3},10520.00 %,2124.00,11710.00 %,2362.00,11045.00 %,2229.00,21.00_{3},16895.24 %,3569.00,15190.48 %,3211.00,13047.62 %,2761.00
100.2,9.67_{3},20237.93 %,1966.00,18527.59 %,1800.66,20544.83 %,1995.66,11.00_{3},22248.48 %,2458.33,19209.09 %,2124.00,22781.82 %,2517.00
100.3,71.60_{1},941.85 %,746.00,931.60 %,738.67,1041.47 %,817.33,13.00_{3},7753.85 %,1021.00,6961.54 %,918.00,6553.85 %,865.00
200.1,3.89_{1},201570.48 %,7841.33,121070.32 %,4711.33,139536.49 %,5429.33,199.00_{3},2031.66 %,4242.00,3278.39 %,6723.00,3546.73 %,7257.00
200.2,8.00_{3},44358.33 %,3556.66,37487.50 %,3007.00,37475.00 %,3006.00,25.00_{3},24044.00 %,6036.00,35324.00 %,8856.00,18572.00 %,4668.00
200.3,7.00_{3},77090.48 %,5403.33,18552.38 %,1305.67,18314.29 %,1289.00,163.33_{2},5850.20 %,9718.66,5864.29 %,9741.66,737.35 %,1367.67
300.1,49.67_{2},23580.54 %,11761.32,9377.18 %,4707.00,22923.49 %,11434.99,--,--,13215.99,--,--,--,12525.99
300.2,--,--,14747.65,--,5709.66,--,10636.99,--,--,13360.00,--,--,--,11111.00
300.3,2.35_{1},211217.01 %,4959.00,184243.09 %,4326.00,334211.83 %,7845.33,--,--,18427.00,--,--,--,8758.00
400.1,--,--,--,--,--,--,15246.00,--,--,17919.00,--,--,--,17307.00
400.2,--,--,14304.65,--,--,--,11274.99,--,--,19335.65,--,--,--,13461.99
400.3,--,--,10303.99,--,7220.66,--,6484.99,--,--,19397.00,--,--,--,14527.00
500.1,--,--,22295.98,--,--,--,21633.98,--,--,21599.00,--,--,--,19881.00
500.2,--,--,19071.00,--,--,--,19908.00,--,--,23053.00,--,--,--,20309.00
500.3,--,--,20917.00,--,--,--,16074.00,--,--,24526.98,--,--,--,24483.98
600.1,--,--,25677.64,--,--,--,23265.98,--,--,25545.00,--,--,--,24969.00
600.2,--,--,21411.00,--,--,--,23312.00,--,--,28691.97,--,--,--,23370.64
600.3,--,--,23394.00,--,--,--,11729.00,--,--,--,--,--,--,13957.99
700.1,--,--,--,--,--,--,29843.00,--,--,31240.00,--,--,--,29539.00
700.2,--,--,26549.31,--,--,--,25187.97,--,--,32953.30,--,--,--,25054.97
700.3,--,--,9628.00,--,--,--,21484.00,--,--,34610.00,--,--,--,27819.00