Instância,Correlated,,,,,,,,Anticorrelated ,,,,,,,
,GS,,,,FER,,,,GS,,,,FER,,,
,Nós,Gap,z^*,Tempo,Nós,Gap,z^*,Tempo,Nós,Gap,z^*,Tempo,Nós,Gap,z^*,Tempo
5.1,3.4E+01,0.000,124.500,0.020,1.1E+02,0.000,124.500,0.030,4.3E+01,0.000,148.333,0.020,8.6E+02,0.000,148.333,0.110
5.2,6.1E+01,0.000,217.333,0.020,1.1E+03,0.000,217.333,0.110,1.5E+02,0.000,176.500,0.030,4.6E+02,0.000,176.500,0.060
5.3,6.0E+00,0.000,113.500,0.010,8.9E+01,0.000,113.500,0.030,6.7E+01,0.000,174.333,0.020,1.2E+03,0.000,174.333,0.120
7.1,3.5E+02,0.007,168.500,0.080,1.2E+03,0.000,168.500,0.500,1.1E+03,0.000,258.000,0.240,2.5E+03,0.000,258.000,1.380
7.2,1.3E+02,0.000,144.000,0.040,1.3E+03,0.000,144.000,0.310,7.6E+03,0.000,280.500,2.170,6.4E+03,0.000,280.500,1.850
7.3,1.3E+02,0.000,87.000,0.070,2.3E+03,0.000,87.000,0.380,5.6E+03,0.000,261.333,1.220,1.6E+04,0.000,261.333,5.400
10.1,1.0E+04,0.000,233.000,5.980,7.2E+03,0.000,233.000,5.430,9.4E+04,0.009,315.666,62.780,4.3E+05,0.000,315.666,127.520
10.2,3.1E+03,0.000,212.333,1.790,9.1E+03,0.000,212.333,6.030,1.7E+06,0.010,380.000,1493.190,1.0E+06,0.000,380.000,1072.360
10.3,4.9E+02,0.000,115.500,0.200,6.1E+02,0.000,115.500,0.270,7.9E+05,0.010,354.000,638.140,2.6E+06,0.000,354.000,730.580
12.1,6.1E+04,0.010,287.500,75.280,3.5E+04,0.000,287.500,40.540,2.6E+06,0.010,357.500,4625.100,1.4E+06,0.000,357.500,2181.470
12.2,1.1E+04,0.008,239.000,8.700,1.7E+04,0.000,239.000,16.530,7.8E+06,10.877,420.666,10800.000,7.7E+06,16.403,420.666,10800.000
12.3,2.0E+03,0.000,151.000,1.150,9.0E+02,0.000,151.000,0.530,4.3E+06,29.399,521.000,10800.000,3.8E+06,26.680,521.000,10800.000
15.1,1.6E+06,0.010,350.333,3331.930,1.1E+07,7.517,350.333,10800.000,3.1E+06,16.825,440.000,10800.000,2.2E+06,16.250,440.000,10800.000
15.2,4.7E+06,6.020,353.500,10800.000,5.1E+06,6.082,353.500,10800.000,4.0E+06,26.250,554.999,10800.000,6.0E+06,29.826,554.333,10800.000
15.3,5.9E+03,0.000,186.333,5.160,1.6E+04,0.000,186.333,25.910,3.0E+06,37.931,660.000,10800.000,2.7E+06,35.584,659.000,10800.000
17.1,4.6E+06,0.010,348.333,10322.300,1.1E+07,9.474,348.333,10800.000,2.0E+06,14.885,432.000,10800.000,1.9E+06,12.847,432.000,10800.000
17.2,3.2E+06,7.439,344.000,10800.000,3.0E+06,7.849,344.000,10800.000,3.0E+06,27.282,618.333,10800.000,5.4E+06,31.483,618.333,10800.000
17.3,4.5E+03,0.005,215.333,5.040,1.4E+04,0.000,215.333,32.460,2.3E+06,39.877,751.000,10800.000,1.7E+06,37.750,751.000,10800.000
20.1,1.8E+06,13.039,422.333,10800.000,3.6E+06,17.206,422.333,10800.000,1.9E+06,18.920,524.000,10800.000,1.2E+06,20.038,524.000,10800.000
20.2,1.7E+06,10.803,372.500,10800.000,2.3E+06,7.383,372.500,10800.000,2.1E+06,30.652,722.666,10800.000,5.6E+06,33.164,722.666,10800.000
20.3,2.0E+05,0.010,201.000,274.650,1.9E+06,0.000,201.000,1131.110,1.5E+06,44.010,891.000,10800.000,1.3E+06,42.273,893.000,10800.000
22.1,1.4E+06,15.100,446.666,10800.000,2.0E+06,19.478,446.666,10800.000,1.3E+06,23.316,602.000,10800.000,1.0E+06,23.505,602.000,10800.000
22.2,1.6E+06,17.483,404.000,10800.000,1.7E+06,15.965,404.000,10800.000,1.6E+06,32.826,797.333,10800.000,3.3E+06,34.783,797.333,10800.000
22.3,2.2E+04,0.010,193.333,33.390,6.1E+04,0.000,193.333,123.140,1.3E+06,44.204,980.500,10800.000,9.5E+05,42.595,982.500,10800.000
25.1,1.4E+06,16.529,459.000,10800.000,2.9E+06,22.948,459.000,10800.000,8.0E+05,25.747,652.500,10800.000,8.1E+05,24.865,647.500,10800.000
25.2,1.1E+06,17.935,437.000,10800.000,1.3E+06,16.705,437.000,10800.000,1.2E+06,34.948,909.332,10800.000,2.5E+06,37.060,909.332,10800.000
25.3,3.5E+05,0.010,203.666,1150.920,1.4E+06,0.000,203.666,4550.900,1.1E+06,45.833,1122.000,10800.000,5.9E+05,43.329,1120.500,10800.000
27.1,8.2E+05,16.337,477.000,10800.000,9.2E+05,20.685,477.000,10800.000,6.9E+05,26.972,744.000,10800.000,6.6E+05,27.487,744.000,10800.000
27.2,7.7E+05,27.730,585.000,10800.000,7.7E+05,26.667,585.000,10800.000,9.4E+05,34.849,980.666,10800.000,1.4E+06,36.604,981.666,10800.000
27.3,2.7E+06,7.182,204.000,10800.000,2.2E+06,9.477,204.000,10800.000,5.8E+05,44.738,1214.000,10800.000,7.1E+05,44.815,1215.000,10800.000
30.1,6.2E+05,18.564,560.999,10800.000,1.9E+06,24.064,560.999,10800.000,5.3E+05,29.500,778.500,10800.000,6.5E+05,28.507,770.000,10800.000
30.2,6.0E+05,30.400,528.000,10800.000,7.1E+05,21.780,528.000,10800.000,6.6E+05,36.333,1093.000,10800.000,5.5E+05,36.588,1096.000,10800.000
30.3,2.3E+06,4.530,236.666,10800.000,5.3E+06,12.254,236.666,10800.000,6.8E+05,37.110,1100.670,10800.000,1.3E+06,40.672,1100.670,10800.000
33.1,4.3E+05,17.968,525.000,10800.000,4.5E+05,17.176,524.000,10800.000,4.3E+05,28.134,882.332,10800.000,8.7E+05,30.299,882.332,10800.000
33.2,5.8E+05,18.830,464.000,10800.000,6.0E+05,22.486,464.000,10800.000,4.0E+05,37.782,1187.000,10800.000,4.6E+05,37.867,1191.000,10800.000
33.3,4.5E+05,20.440,295.500,10800.000,1.5E+06,20.981,295.500,10800.000,4.9E+05,38.455,1203.670,10800.000,1.3E+06,42.193,1204.000,10800.000
35.1,3.1E+05,23.265,566.500,10800.000,3.6E+05,19.418,566.500,10800.000,4.3E+05,25.534,866.999,10800.000,7.9E+05,30.296,866.999,10800.000
35.2,4.2E+05,18.916,506.333,10800.000,5.8E+05,22.317,506.333,10800.000,4.2E+05,37.889,1256.000,10800.000,3.3E+05,37.785,1250.500,10800.000
35.3,5.2E+05,17.062,340.500,10800.000,5.8E+05,16.300,340.500,10800.000,4.1E+05,37.619,1255.330,10800.000,7.7E+05,41.220,1256.670,10800.000
38.1,,,,,,,,,,,,,,,,
38.2,,,,,,,,,,,,,,,,
38.3,,,,,,,,,,,,,,,,
40.1,,,,,,,,,,,,,,,,
40.2,,,,,,,,,,,,,,,,
40.3,,,,,,,,,,,,,,,,
42.1,,,,,,,,,,,,,,,,
42.2,,,,,,,,,,,,,,,,
42.3,,,,,,,,,,,,,,,,
45.1,,,,,,,,,,,,,,,,
45.2,,,,,,,,,,,,,,,,
45.3,,,,,,,,,,,,,,,,
48.1,,,,,,,,,,,,,,,,
48.2,,,,,,,,,,,,,,,,
48.3,,,,,,,,,,,,,,,,
50.1,,,,,,,,,,,,,,,,
50.2,,,,,,,,,,,,,,,,
50.3,,,,,,,,,,,,,,,,