Instância ,Correlated,,,,,Anticorrelated,,,,
,Média da taxa de sucesso do crossover,Média da taxa de sucesso  da mutação,Média da taxa de sucesso do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado,Média da taxa de sucesso do crossover,Média da taxa de sucesso  da mutação,Média da taxa de sucesso do SA,Média da quantidade de renovações da população ,Média da quantidade de vezes em que o fitness foi avaliado
30.1,0.083,0.012,0.103,7.833,3.0962E+06,0.089,0.019,0.129,7.867,3.0962E+06
30.2,0.091,0.024,0.140,8.033,3.0962E+06,0.080,0.006,0.088,9.000,3.0963E+06
30.3,0.032,0.006,0.135,9.000,3.0963E+06,0.038,0.004,0.156,8.733,3.0962E+06
35.1,0.087,0.011,0.099,8.900,3.0962E+06,0.087,0.011,0.087,8.567,3.0962E+06
35.2,0.049,0.009,0.072,8.133,3.0962E+06,0.068,0.007,0.068,8.700,3.0962E+06
35.3,0.040,0.006,0.086,8.933,3.0962E+06,0.032,0.005,0.099,9.000,3.0963E+06
40.1,0.078,0.013,0.051,8.133,3.0962E+06,0.067,0.009,0.041,8.800,3.0962E+06
40.2,0.088,0.008,0.062,9.033,3.0963E+06,0.086,0.011,0.072,8.900,3.0962E+06
40.3,0.065,0.009,0.091,8.833,3.0962E+06,0.062,0.008,0.091,8.933,3.0962E+06
45.1,0.037,0.006,0.039,8.567,3.0962E+06,0.106,0.009,0.044,7.800,3.0961E+06
45.2,0.077,0.012,0.056,8.967,3.0963E+06,0.103,0.009,0.054,6.800,3.0961E+06
45.3,0.059,0.005,0.080,8.833,3.0962E+06,0.043,0.014,0.077,9.033,3.0963E+06
50.1,0.090,0.009,0.051,8.333,3.0962E+06,0.107,0.014,0.063,6.767,3.0961E+06
50.2,0.086,0.010,0.080,7.733,3.0961E+06,0.086,0.010,0.074,7.533,3.0961E+06
50.3,0.028,0.008,0.082,8.900,3.0962E+06,0.055,0.007,0.068,8.500,3.0962E+06
100.1,0.121,0.011,0.044,5.333,3.0959E+06,0.105,0.014,0.076,7.200,3.0961E+06
100.2,0.075,0.007,0.038,8.167,3.0962E+06,0.092,0.020,0.043,8.967,3.0963E+06
100.3,0.076,0.008,0.064,7.867,3.0962E+06,0.081,0.012,0.071,8.367,3.0962E+06
200.1,0.093,0.010,0.035,7.733,3.0961E+06,0.106,0.016,0.079,4.800,3.0959E+06
200.2,0.109,0.015,0.059,4.467,3.0959E+06,0.103,0.011,0.043,6.567,3.0961E+06
200.3,0.081,0.011,0.055,8.100,3.0962E+06,0.048,0.011,0.048,8.533,3.0962E+06
300.1,0.096,0.012,0.072,5.200,3.0959E+06,0.116,0.015,0.067,6.100,3.0960E+06
300.2,0.104,0.015,0.074,6.233,3.0960E+06,0.118,0.023,0.067,4.467,3.0959E+06
300.3,0.090,0.010,0.057,7.867,3.0962E+06,0.098,0.014,0.051,8.700,3.0962E+06
400.1,0.107,0.011,0.041,6.933,3.0961E+06,0.115,0.018,0.084,4.367,3.0959E+06
400.2,0.054,0.005,0.033,8.833,3.0962E+06,0.113,0.011,0.039,5.933,3.0960E+06
400.3,0.076,0.011,0.046,8.900,3.0962E+06,0.105,0.014,0.053,4.833,3.0959E+06
500.1,0.098,0.011,0.034,7.267,3.0961E+06,0.117,0.014,0.047,4.167,3.0959E+06
500.2,0.107,0.014,0.040,5.800,3.0960E+06,0.119,0.016,0.039,3.300,3.0958E+06
500.3,0.096,0.009,0.042,8.900,3.0962E+06,0.096,0.010,0.048,8.367,3.0962E+06