,Média da taxa de sucesso do plas1,Média da taxa de sucesso do plas2,Média da taxa de sucesso do plas3,Média da taxa de sucesso do primTrans,Média da taxa de sucesso do SA_Trans
30.1,0.0580772,0.236963,0.0917609,0.0271044,0.0260641
30.2,0.0429973,0.192089,0.104351,0.0231844,0.00793257
30.3,0.0528771,0.154659,0.0456305,0.0188343,0.00733921
35.1,0.0401999,0.229224,0.0809516,0.0277622,0.0331464
35.2,0.0517464,0.20799,0.0868736,0.0149038,0.0243215
35.3,0.0225924,0.02941,0.0266571,0.00299569,0.190601
40.1,0.0453391,0.266348,0.101212,0.0256086,0.0465904
40.2,0.0520857,0.226671,0.0780739,0.0169018,0.0337578
40.3,0.022485,0.039247,0.0362849,0.00363071,0.194469
45.1,0.0535479,0.229926,0.112546,0.0130732,0.172281
45.2,0.0231802,0.0466371,0.0392623,0.00472414,0.269194
45.3,0.0225098,0.0738728,0.00657225,0.0369766,0.000165717
50.1,0.0359319,0.136324,0.0692631,0.00958787,0.288151
50.2,0.0505541,0.235817,0.0587474,0.0309564,0.00304633
50.3,0.0400466,0.155667,0.0356979,0.0255193,0.000917983
100.1,0.0539131,0.371499,0.186053,0.0257686,0.0347582
100.2,0.0247848,0.0725256,0.0505814,0.00530701,0.358625
100.3,0.0447524,0.244043,0.0222767,0.0406708,0.000271227
200.1,0.0542392,0.413917,0.218843,0.01904,0.175455
200.2,0.0511797,0.353951,0.108121,0.0330686,0.00176267
200.3,0.0635572,0.36328,0.0937712,0.0236977,0.00295616
300.1,0.0538573,0.389132,0.125715,0.039817,0.00486046
300.2,0.0485104,0.423707,0.194996,0.02387,0.0301949
300.3,0.059602,0.369409,0.0716554,0.0330923,0.00110889
400.1,0.0537965,0.454123,0.150978,0.0370469,0.00450235
400.2,0.0479305,0.367484,0.0820399,0.0370322,0.000880864
400.3,0.0419381,0.369968,0.0540895,0.0392731,0.000419235
500.1,0.0436513,0.45043,0.222675,0.0273358,0.016583
500.2,0.0408913,0.440853,0.175124,0.0253371,0.021929
500.3,0.0332343,0.113666,0.0792819,0.00396107,0.455938
600.1,0.0462475,0.378943,0.214934,0.0108577,0.550607
600.2,0.0497717,0.456255,0.208562,0.025376,0.0260528
600.3,0.0518958,0.445438,0.132909,0.0246205,0.00202432
700.1,0.0559371,0.517767,0.280595,0.0187335,0.137787
700.2,0.0553609,0.433752,0.101343,0.0381644,0.00114152
700.3,0.0480631,0.423342,0.0798101,0.0317558,0.000904266
800.1,0.0457185,0.447871,0.179787,0.0284265,0.0137522
800.2,0.0492288,0.465159,0.135416,0.0302936,0.00331678
800.3,0.0510374,0.458334,0.112863,0.0265076,0.00212285
900.1,0.0517973,0.407343,0.225194,0.0114043,0.580028
900.2,0.048612,0.483285,0.187051,0.0259975,0.0214834
900.3,0.044311,0.440662,0.0803762,0.0328283,0.000573517
1000.1,0.0552081,0.533861,0.281729,0.01785,0.138031
1000.2,0.0501309,0.493838,0.212103,0.0236006,0.0214475
1000.3,0.0495494,0.476496,0.146929,0.0249801,0.00170192